Run_ID,Timestamp,R2,Selected_Features,Run_Time,Train_Data_Start,Train_Data_End,Export_Time
1,25-01-2021_11-21-28,0.479202383,234,25:11.7,NULL,NULL,NULL
2,25-01-2021_12-09-56,0.487338762,228,39:12.0,NULL,NULL,NULL
3,25-01-2021_12-53-16,0.440428257,210,06:35.3,NULL,NULL,NULL
4,25-01-2021_13-20-08,0.460893726,197,23:49.0,NULL,NULL,NULL
5,25-01-2021_14-20-45,0.45831906,252,55:46.7,NULL,NULL,NULL
6,25-01-2021_15-30-21,0.450682893,276,58:21.9,NULL,NULL,NULL
7,25-01-2021_16-44-10,0.449169004,245,48:07.8,NULL,NULL,NULL
8,26-01-2021_08-35-43,0.444406063,249,52:38.8,NULL,NULL,NULL
9,26-01-2021_10-13-23,0.509447286,214,23:18.7,NULL,NULL,NULL
10,26-01-2021_10-40-28,0.494300285,218,23:16.3,NULL,NULL,NULL
11,26-01-2021_11-16-01,0.485786135,212,23:27.3,NULL,NULL,NULL
12,02-02-2021_10-37-40,Test,Test,00:27.7,NULL,NULL,NULL
13,02-02-2021_10-43-33,Test,Test,00:24.0,NULL,NULL,NULL
14,02-02-2021_10-44-34,Test,Test,00:24.0,NULL,NULL,NULL
15,03-02-2021_17-41-48,Test,Test,00:26.9,NULL,NULL,NULL
16,05-02-2021_16-47-00,0.442094477,266,47:19.0,NULL,NULL,NULL
17,08-02-2021_16-38-11,0.459420039,251,25:10.6,NULL,NULL,NULL
18,08-02-2021_18-08-09,0.448205957,249,34:16.1,NULL,NULL,NULL
19,10-02-2021_11-13-11,0.425079712,256,26:38.8,NULL,NULL,NULL
20,10-02-2021_12-46-46,0.299377609,11,08:04.0,NULL,NULL,NULL
21,10-02-2021_12-58-34,0.317358226,12,10:06.4,NULL,NULL,NULL
22,10-02-2021_13-07-54,0.493646366,3,06:05.8,NULL,NULL,NULL
