PLC,Desk_edit,MODULE
C05,P01,1
C05,P02,1
C05,P03,1
C05,Z,C05 External
C05,PTT01,1
SCSM01,SCSM01,1
C06,P01,2
C06,P02,2
SCSM02,SCSM02,2
C06,P03,3
C06,P04,3
SCSM03,SCSM03,3
C06,PTT02,2
C06,PTT03,3
C06,Z,C06 External
C07,P01,4
C07,P02,4
SCSM04,SCSM04,4
C07,P03,5
C07,P04,5
SCSM05,SCSM05,5
C07,PTT04,4
C07,PTT05,5
C07,Z,C07 External
C08,P01,7
C08,P02,7
SCSM07,SCSM07,7
C08,P03,8
C08,P04,8
SCSM08,SCSM08,8
C08,PTT07,7
C08,PTT08,8
C08,Z,C08 External
C09,P01,9
C09,P02,9
SCSM09,SCSM09,9
C09,P03,10
C09,P04,10
SCSM10,SCSM10,10
C09,PTT09,9
C09,PTT10,10
C09,Z,C09 External
C10,P01,11
C10,P02,11
C10,P03,11
SCSM11,SCSM11,11
C10,PTT11,11
C10,Z,C10 External
C11,P01,12
C11,P02,12
SCSM12,SCSM12,12
C11,P03,13
C11,P04,13
SCSM13,SCSM13,13
C11,PTT12,12
C11,PTT13,13
C11,Z,C11 External
C12,P01,14
C12,P02,14
SCSM14,SCSM14,14
C12,P03,15
C12,P04,15
SCSM15,SCSM15,15
C12,PTT14,14
C12,PTT15,15
C12,Z,C12 External
C13,P01,17
C13,P02,17
SCSM17,SCSM17,17
C13,P03,18
C13,P04,18
SCSM18,SCSM18,18
C13,PTT17,17
C13,PTT18,18
C13,Z,C13 External
C14,P01,19
C14,P02,19
SCSM19,SCSM19,19
C14,P03,20
C14,P04,20
SCSM20,SCSM20,20
C14,PTT19,19
C14,PTT20,20
C14,Z,C14 External
C35,NA,Destacker
C36,NA,Destacker
C37,NA,Destacker
C38,NA,Destacker
C39,NA,Destacker
C40,NA,Destacker
C41,NA,Destacker
C42,NA,Destacker
C43,NA,Destacker
C44,NA,Destacker
C45,NA,Destacker
C46,NA,Destacker
C47,NA,Destacker
C48,NA,Destacker
C49,NA,Destacker
C50,NA,Destacker
C51,NA,Destacker
C52,NA,Destacker
C53,NA,Destacker
C54,NA,Destacker
C17,NA,ECB
SCSM22,SCSM22,ECB
C15,NA,Outer Loop
C16,NA,Outer Loop
C23,NA,Outer Loop
